Symbol	Name	# SSM Affected Cases in Cohort	# SSM Affected Cases Across the GDC	# CNV Gain	# CNV Loss	# Mutations	Annotations	Survival
PTPRK	protein tyrosine phosphatase receptor type K	6 / 984 (0.61%)	380 / 12,968	--	--	6	Cancer Gene Census	add to survival plot
ECT2L	epithelial cell transforming 2 like	6 / 984 (0.61%)	175 / 12,968	--	--	9	Cancer Gene Census	add to survival plot
THRAP3	thyroid hormone receptor associated protein 3	6 / 984 (0.61%)	205 / 12,968	--	--	9	Cancer Gene Census	add to survival plot
PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	6 / 984 (0.61%)	212 / 12,968	--	--	7	Cancer Gene Census	add to survival plot
HSP90AB1	heat shock protein 90 alpha family class B member 1	6 / 984 (0.61%)	186 / 12,968	--	--	6	Cancer Gene Census	add to survival plot
EPAS1	endothelial PAS domain protein 1	6 / 984 (0.61%)	194 / 12,968	--	--	9	Cancer Gene Census	add to survival plot
CTNNB1	catenin beta 1	6 / 984 (0.61%)	489 / 12,968	--	--	6	Cancer Gene Census	add to survival plot
LPP	LIM domain containing preferred translocation partner in lipoma	6 / 984 (0.61%)	201 / 12,968	--	--	7	Cancer Gene Census	add to survival plot
CDC73	cell division cycle 73	6 / 984 (0.61%)	170 / 12,968	--	--	7	Cancer Gene Census	add to survival plot
RALGDS	ral guanine nucleotide dissociation stimulator	6 / 984 (0.61%)	163 / 12,968	--	--	7	Cancer Gene Census	add to survival plot
FGFR4	fibroblast growth factor receptor 4	6 / 984 (0.61%)	213 / 12,968	--	--	7	Cancer Gene Census	add to survival plot
MAPK1	mitogen-activated protein kinase 1	6 / 984 (0.61%)	82 / 12,968	--	--	6	Cancer Gene Census	add to survival plot
IGF2BP2	insulin like growth factor 2 mRNA binding protein 2	6 / 984 (0.61%)	168 / 12,968	--	--	6	Cancer Gene Census	add to survival plot
PAX8	paired box 8	6 / 984 (0.61%)	124 / 12,968	--	--	7	Cancer Gene Census	add to survival plot
ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit	6 / 984 (0.61%)	175 / 12,968	--	--	6	Cancer Gene Census	add to survival plot
IL7R	interleukin 7 receptor	6 / 984 (0.61%)	285 / 12,968	--	--	6	Cancer Gene Census	add to survival plot
GNAS	GNAS complex locus	6 / 984 (0.61%)	319 / 12,968	--	--	8	Cancer Gene Census	add to survival plot
DCTN1	dynactin subunit 1	6 / 984 (0.61%)	249 / 12,968	--	--	7	Cancer Gene Census	add to survival plot
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	6 / 984 (0.61%)	265 / 12,968	--	--	6	Cancer Gene Census	add to survival plot
PRKCB	protein kinase C beta	6 / 984 (0.61%)	318 / 12,968	--	--	7	Cancer Gene Census	add to survival plot
FUS	FUS RNA binding protein	6 / 984 (0.61%)	122 / 12,968	--	--	6	Cancer Gene Census	add to survival plot
ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit	6 / 984 (0.61%)	165 / 12,968	--	--	6	Cancer Gene Census	add to survival plot
ARHGEF10L	Rho guanine nucleotide exchange factor 10 like	6 / 984 (0.61%)	245 / 12,968	--	--	10	Cancer Gene Census	add to survival plot
MYO5A	myosin VA	6 / 984 (0.61%)	331 / 12,968	--	--	10	Cancer Gene Census	add to survival plot
NUP214	nucleoporin 214	6 / 984 (0.61%)	328 / 12,968	--	--	7	Cancer Gene Census	add to survival plot
CRLF2	cytokine receptor like factor 2	6 / 984 (0.61%)	86 / 12,968	--	--	6	Cancer Gene Census	add to survival plot
TRIM33	tripartite motif containing 33	6 / 984 (0.61%)	187 / 12,968	--	--	6	Cancer Gene Census	add to survival plot
BARD1	BRCA1 associated RING domain 1	6 / 984 (0.61%)	172 / 12,968	--	--	7	Cancer Gene Census	add to survival plot
ZNF331	zinc finger protein 331	5 / 984 (0.51%)	191 / 12,968	--	--	5	Cancer Gene Census	add to survival plot
DDX10	DEAD-box helicase 10	5 / 984 (0.51%)	154 / 12,968	--	--	8	Cancer Gene Census	add to survival plot
POLD1	DNA polymerase delta 1, catalytic subunit	5 / 984 (0.51%)	223 / 12,968	--	--	5	Cancer Gene Census	add to survival plot
EML4	EMAP like 4	5 / 984 (0.51%)	168 / 12,968	--	--	7	Cancer Gene Census	add to survival plot
EIF1AX	eukaryotic translation initiation factor 1A X-linked	5 / 984 (0.51%)	77 / 12,968	--	--	5	Cancer Gene Census	add to survival plot
CDKN1B	cyclin dependent kinase inhibitor 1B	5 / 984 (0.51%)	106 / 12,968	--	--	5	Cancer Gene Census	add to survival plot
MALT1	MALT1 paracaspase	5 / 984 (0.51%)	133 / 12,968	--	--	7	Cancer Gene Census	add to survival plot
TPM3	tropomyosin 3	5 / 984 (0.51%)	105 / 12,968	--	--	5	Cancer Gene Census	add to survival plot
